time;Load_load2_running;Load_load2_terminal_V_re;Load_load2_terminal_V_im;Load_load2_PPu;Load_load1_PPu;MS1_gover_PmPu;MS1_gover_omegaPu;MS1_gen_cePu;MS1_gen_PePu;MS1_gen_cmPu;MS1_gen_PmPu;MS1_gen_ufPu;MS1_gen_efdPu;MS1_gen_omegaPu;MS1_gen_theta;MS1_gen_PGenPu;MS1_gen_QGenPu;MS1_gen_PGen;MS1_gen_QGen;MS1_gen_UPu;MS1_gen_IStatorPu;MS1_gen_IRotorPu;MS1_gen_UStatorPu;MS1_gen_QStatorPu;MS1_gen_thetaInternal;MS2_gen_cePu;MS2_gen_PePu;MS2_gen_cmPu;MS2_gen_PmPu;MS2_gen_ufPu;MS2_gen_efdPu;MS2_gen_omegaPu;MS2_gen_theta;MS2_gen_PGenPu;MS2_gen_QGenPu;MS2_gen_PGen;MS2_gen_QGen;MS2_gen_UPu;MS2_gen_IStatorPu;MS2_gen_IRotorPu;MS2_gen_UStatorPu;MS2_gen_QStatorPu;MS2_gen_thetaInternal;
30.32;-1;0.883053;0.495329;0;1.94819;0.724047;1.00719;0.601068;0.60539;0.718878;0.724047;0.00131627;1.81724;1.00719;1.36302;3.0285;0.0866072;302.85;8.66072;1.0126;2.99182;1.58862;1.0126;0.0866072;0.851826;-0.213481;-0.214939;-1.98645e-05;-2e-05;0.000798663;1.10263;1.00682;0.318957;-1.07571;0.00578743;-107.571;0.578743;1.10826;0.970479;1.13435;1.10826;0.00578743;-0.106987;
30.352;-1;0.843696;0.561521;0;1.95222;0.721699;1.00766;0.600737;0.605339;0.716212;0.721699;0.00131627;1.81724;1.00766;1.43762;3.02906;0.0877517;302.906;8.77517;1.01364;2.98931;1.59152;1.01364;0.0877517;0.850388;-0.212504;-0.214135;-1.98478e-05;-2e-05;0.000798663;1.10263;1.00767;0.391829;-1.07229;0.00382993;-107.229;0.382993;1.1093;0.966467;1.13541;1.1093;0.00382993;-0.110632;
30.416;-1;0.738543;0.697661;0;1.96114;0.716934;1.00861;0.591834;0.596932;0.710812;0.716934;0.00131627;1.81724;1.00861;1.60119;2.98466;0.0892212;298.466;8.92212;1.01596;2.93908;1.58505;1.01596;0.0892212;0.844246;-0.202002;-0.203883;-1.98155e-05;-2e-05;0.000798663;1.10263;1.00931;0.562415;-1.01942;-0.00677641;-101.942;-0.677641;1.11157;0.917114;1.13329;1.11157;-0.00677641;-0.114222;
30.48;-1;0.592392;0.828996;0;1.97251;0.711863;1.00963;0.574444;0.579974;0.705074;0.711863;0.00131627;1.81724;1.00963;1.78476;2.89988;0.0910209;289.988;9.10209;1.0189;2.84749;1.56546;1.0189;0.0910209;0.834411;-0.182824;-0.184805;-1.97856e-05;-2e-05;0.000798663;1.10263;1.01084;0.764518;-0.924015;-0.0235927;-92.4015;-2.35927;1.11444;0.829398;1.12647;1.11444;-0.0235927;-0.11352;
30.544;-1;0.400858;0.940152;0;1.98469;0.70628;1.01074;0.552822;0.558761;0.698772;0.70628;0.00131627;1.81724;1.01074;1.98996;2.79377;0.0944914;279.377;9.44914;1.02204;2.73508;1.53856;1.02204;0.0944914;0.822203;-0.159369;-0.161312;-1.97591e-05;-2e-05;0.000798663;1.10263;1.01219;0.995321;-0.806531;-0.0432801;-80.6531;-4.32801;1.11743;0.722807;1.11692;1.11743;-0.0432801;-0.109792;
30.608;-1;0.164601;1.01183;0;1.99673;0.700147;1.01197;0.531665;0.538029;0.691865;0.700147;0.00131627;1.81724;1.01197;2.21882;2.69005;0.100316;269.005;10.0316;1.02514;2.6259;1.51093;1.02514;0.100316;0.809293;-0.136519;-0.138345;-1.97361e-05;-2e-05;0.000798663;1.10263;1.01337;1.25151;-0.691444;-0.0626684;-69.1444;-6.26684;1.12027;0.619731;1.10681;1.12027;-0.0626684;-0.104735;
30.6656;-1;-0.0793748;1.0247;0;2.007;0.694245;1.01315;0.516297;0.523087;0.685233;0.694245;0.00131627;1.81724;1.01315;2.44648;2.61544;0.107375;261.544;10.7375;1.02777;2.5469;1.49024;1.02777;0.107375;0.798379;-0.119685;-0.121397;-1.9718e-05;-2e-05;0.000798663;1.10263;1.0143;1.50125;-0.606983;-0.0782422;-60.6983;-7.82422;1.12259;0.545175;1.09883;1.12259;-0.0782422;-0.100368;
30.7232;-1;-0.339366;0.972712;0;2.01654;0.688159;1.01437;0.506828;0.51411;0.678411;0.688159;0.00131627;1.81724;1.01437;2.6957;2.57051;0.115498;257.051;11.5498;1.03021;2.49764;1.47671;1.03021;0.115498;0.789228;-0.108899;-0.110547;-1.97019e-05;-2e-05;0.000798663;1.10263;1.01513;1.76703;-0.552757;-0.0911741;-55.2757;-9.11741;1.12462;0.498146;1.09257;1.12462;-0.0911741;-0.0973744;
30.7808;-1;-0.594453;0.844186;0;2.02544;0.682107;1.01558;0.504012;0.511864;0.671644;0.682107;0.00131627;1.81724;1.01558;2.96671;2.55926;0.124035;255.926;12.4035;1.03248;2.48165;1.47172;1.03248;0.124035;0.7824;-0.104862;-0.10653;-1.96868e-05;-2e-05;0.000798663;1.10263;1.01591;2.04756;-0.532682;-0.101322;-53.2682;-10.1322;1.12642;0.481375;1.08839;1.12642;-0.101322;-0.0964116;
30.8384;-1;-0.81698;0.634806;0;2.03382;0.676303;1.01674;0.507354;0.515847;0.665168;0.676303;0.00131627;1.81724;1.01674;3.25899;2.57879;0.13254;257.879;13.254;1.03462;2.4958;1.47497;1.03462;0.13254;0.777994;-0.106932;-0.108716;-1.96718e-05;-2e-05;0.000798663;1.10263;1.01668;2.34235;-0.543792;-0.108849;-54.3792;-10.8849;1.12806;0.491623;1.08618;1.12806;-0.108849;-0.0976504;
